repdomains,log2val,sample_strand,direction,windows
ERD,-0.0270161629383901,-,Left Replicating,-1
ERD,-0.278157612097871,+,Left Replicating,-1
LRD,0.154780323827258,-,Left Replicating,-1
LRD,0.183517069812397,+,Left Replicating,-1
ERD,-0.401747048656303,-,Left Replicating,-10
ERD,-0.201156920659624,+,Left Replicating,-10
LRD,-0.090896043466387,-,Left Replicating,-10
LRD,0.0739390880905079,+,Left Replicating,-10
ERD,-0.220723881061271,-,Left Replicating,-100
ERD,-0.24389744095288,+,Left Replicating,-100
LRD,-0.255279205225782,-,Left Replicating,-100
LRD,-0.295866402687754,+,Left Replicating,-100
ERD,-0.291136633253088,-,Left Replicating,-11
ERD,-0.231330928671891,+,Left Replicating,-11
LRD,-0.0460084408759067,-,Left Replicating,-11
LRD,-0.19653086077036,+,Left Replicating,-11
ERD,-0.309947522064665,-,Left Replicating,-12
ERD,-0.243713745647065,+,Left Replicating,-12
LRD,-0.127953238569056,-,Left Replicating,-12
LRD,-0.21115498607937,+,Left Replicating,-12
ERD,-0.443655461951108,-,Left Replicating,-13
ERD,-0.186735953470146,+,Left Replicating,-13
LRD,-0.074210326566205,-,Left Replicating,-13
LRD,-0.153028714228494,+,Left Replicating,-13
ERD,-0.282901666536537,-,Left Replicating,-14
ERD,-0.485733506450936,+,Left Replicating,-14
LRD,-0.39229124552317,-,Left Replicating,-14
LRD,-0.230597018701485,+,Left Replicating,-14
ERD,-0.270719645745429,-,Left Replicating,-15
ERD,-0.0426570193108042,+,Left Replicating,-15
LRD,-0.127176945292232,-,Left Replicating,-15
LRD,-0.130533928919686,+,Left Replicating,-15
ERD,-0.370552092675491,-,Left Replicating,-16
ERD,-0.161286317417578,+,Left Replicating,-16
LRD,-0.309896146549524,-,Left Replicating,-16
LRD,0.075693818727702,+,Left Replicating,-16
ERD,-0.11730015470409,-,Left Replicating,-17
ERD,-0.143417989897411,+,Left Replicating,-17
LRD,0.0797382707409796,-,Left Replicating,-17
LRD,0.0358522890751153,+,Left Replicating,-17
ERD,-0.357007991413641,-,Left Replicating,-18
