repdomains,log2val,sample_strand,direction,windows
ERD,-0.247083838986877,-,Left Replicating,-1
ERD,-0.132445729402558,+,Left Replicating,-1
LRD,-0.039370097751993,-,Left Replicating,-1
LRD,-0.0809389376422573,+,Left Replicating,-1
ERD,-0.154583782262607,-,Left Replicating,-10
ERD,-0.195419177938701,+,Left Replicating,-10
LRD,-0.301557328274736,-,Left Replicating,-10
LRD,-0.0691850841662692,+,Left Replicating,-10
ERD,-0.338551996045642,-,Left Replicating,-100
ERD,-0.213148235448229,+,Left Replicating,-100
LRD,-0.609974647541877,-,Left Replicating,-100
LRD,0.0415724367140109,+,Left Replicating,-100
ERD,-0.135556037587028,-,Left Replicating,-11
ERD,-0.185214746252936,+,Left Replicating,-11
LRD,-0.34463575138685,-,Left Replicating,-11
LRD,-0.0642323062350969,+,Left Replicating,-11
ERD,-0.301218684085267,-,Left Replicating,-12
ERD,-0.341372144836205,+,Left Replicating,-12
LRD,-0.111437610427019,-,Left Replicating,-12
LRD,-0.103763776123466,+,Left Replicating,-12
ERD,-0.254463189487695,-,Left Replicating,-13
ERD,-0.240564380148677,+,Left Replicating,-13
LRD,-0.323129329036533,-,Left Replicating,-13
LRD,-0.0277869087337499,+,Left Replicating,-13
ERD,-0.220152063580038,-,Left Replicating,-14
ERD,-0.298064330379149,+,Left Replicating,-14
LRD,-0.377812014073051,-,Left Replicating,-14
LRD,0.0636884008348761,+,Left Replicating,-14
ERD,-0.224162894219631,-,Left Replicating,-15
ERD,-0.0584652314522282,+,Left Replicating,-15
LRD,-0.448949418040118,-,Left Replicating,-15
LRD,-0.0486143537478141,+,Left Replicating,-15
ERD,-0.193612830713979,-,Left Replicating,-16
ERD,-0.147901274134514,+,Left Replicating,-16
LRD,-0.500617313601989,-,Left Replicating,-16
LRD,0.101256201886771,+,Left Replicating,-16
ERD,-0.0842077514393717,-,Left Replicating,-17
ERD,-0.24957931718782,+,Left Replicating,-17
LRD,-0.336941235401572,-,Left Replicating,-17
LRD,-0.14847563410502,+,Left Replicating,-17
ERD,-0.39981680743675,-,Left Replicating,-18
ERD,-0.169158578151051,+,Left Replicating,-18
LRD,-0.323055316595866,-,Left Replicating,-18
LRD,-0.261816890756799,+,Left Replicating,-18
ERD,-0.32426269654861,-,Left Replicating,-19
ERD,-0.149631145526202,+,Left Replicating,-19
LRD,-0.302986870511609,-,Left Replicating,-19
LRD,0.0969652740874759,+,Left Replicating,-19
ERD,-0.244314332406967,-,Left Replicating,-2
ERD,-0.296917732003901,+,Left Replicating,-2
LRD,-0.144459090120281,-,Left Replicating,-2
LRD,-0.175518990895195,+,Left Replicating,-2
ERD,-0.111025272621327,-,Left Replicating,-20
ERD,-0.259498263332589,+,Left Replicating,-20
LRD,-0.366049427118972,-,Left Replicating,-20
LRD,-0.220811183146198,+,Left Replicating,-20
ERD,-0.141012142255279,-,Left Replicating,-21
ERD,-0.278116591684663,+,Left Replicating,-21
LRD,-0.369299788494428,-,Left Replicating,-21
LRD,-0.161994118684205,+,Left Replicating,-21
ERD,-0.11018110341882,-,Left Replicating,-22
ERD,-0.2190791539093,+,Left Replicating,-22
LRD,-0.265000693035946,-,Left Replicating,-22
LRD,0.0351225315512166,+,Left Replicating,-22
ERD,-0.222369758958746,-,Left Replicating,-23
ERD,-0.172911498919748,+,Left Replicating,-23
LRD,-0.274325127505748,-,Left Replicating,-23
LRD,-0.156085707009578,+,Left Replicating,-23
ERD,-0.289143378630979,-,Left Replicating,-24
ERD,-0.123451934447062,+,Left Replicating,-24
LRD,-0.228136147443755,-,Left Replicating,-24
LRD,0.0803882814908182,+,Left Replicating,-24
ERD,-0.279957360130438,-,Left Replicating,-25
ERD,-0.258515192161045,+,Left Replicating,-25
LRD,-0.310993996479611,-,Left Replicating,-25
LRD,-0.00604549535425952,+,Left Replicating,-25
ERD,-0.102858426974352,-,Left Replicating,-26
ERD,-0.294287022404079,+,Left Replicating,-26
LRD,-0.297798847101046,-,Left Replicating,-26
LRD,-0.201604770975112,+,Left Replicating,-26
ERD,-0.295878848242988,-,Left Replicating,-27
ERD,-0.201325507219157,+,Left Replicating,-27
LRD,-0.385928029223639,-,Left Replicating,-27
LRD,-0.0933850067257105,+,Left Replicating,-27
ERD,-0.106899465419431,-,Left Replicating,-28
ERD,-0.182163078095506,+,Left Replicating,-28
LRD,-0.307754915610044,-,Left Replicating,-28
LRD,-0.0551024864905146,+,Left Replicating,-28
ERD,-0.234726237578462,-,Left Replicating,-29
ERD,-0.134850707005135,+,Left Replicating,-29
LRD,-0.362073401925313,-,Left Replicating,-29
LRD,0.0577181539593949,+,Left Replicating,-29
ERD,-0.132107768715414,-,Left Replicating,-3
ERD,-0.266102242254136,+,Left Replicating,-3
LRD,-0.227622211034213,-,Left Replicating,-3
LRD,0.0256990108300259,+,Left Replicating,-3
ERD,-0.175756765937571,-,Left Replicating,-30
ERD,-0.0809614719560331,+,Left Replicating,-30
LRD,-0.439318937252306,-,Left Replicating,-30
LRD,-0.0908891399487643,+,Left Replicating,-30
ERD,-0.216197357894273,-,Left Replicating,-31
ERD,-0.212243149492825,+,Left Replicating,-31
LRD,-0.335735732135026,-,Left Replicating,-31
LRD,-0.0267364451981563,+,Left Replicating,-31
ERD,-0.241020928588209,-,Left Replicating,-32
ERD,-0.223772836057849,+,Left Replicating,-32
