repdomains,log2val,sample_strand,direction,windows
LRD,-0.399078530123803,-,Left Replicating,-37
LRD,0.0953134509079451,+,Left Replicating,-37
ERD,-0.069588670286501,-,Left Replicating,-38
ERD,-0.208874787411722,+,Left Replicating,-38
LRD,-0.434828586335265,-,Left Replicating,-38
LRD,0.0274334409326104,+,Left Replicating,-38
ERD,-0.239277182438452,-,Left Replicating,-39
ERD,-0.119212893164586,+,Left Replicating,-39
LRD,-0.513845016211208,-,Left Replicating,-39
LRD,0.0435765926865488,+,Left Replicating,-39
ERD,-0.145725616281575,-,Left Replicating,-4
ERD,-0.178295494137608,+,Left Replicating,-4
LRD,-0.221398208412466,-,Left Replicating,-4
LRD,-0.175094398625842,+,Left Replicating,-4
ERD,-0.253155273701549,-,Left Replicating,-40
ERD,-0.0704054131295942,+,Left Replicating,-40
LRD,-0.638325478244422,-,Left Replicating,-40
LRD,-0.11234057636386,+,Left Replicating,-40
ERD,-0.106842706817875,-,Left Replicating,-41
ERD,-0.189064682507312,+,Left Replicating,-41
LRD,-0.364761219741165,-,Left Replicating,-41
LRD,-0.137050374821335,+,Left Replicating,-41
ERD,-0.314624554765441,-,Left Replicating,-42
ERD,-0.170014402819917,+,Left Replicating,-42
LRD,-0.518021462377819,-,Left Replicating,-42
LRD,-0.118745943302955,+,Left Replicating,-42
ERD,-0.190647763312716,-,Left Replicating,-43
ERD,-0.165066457568364,+,Left Replicating,-43
LRD,-0.536909450912404,-,Left Replicating,-43
LRD,-0.100377455082824,+,Left Replicating,-43
ERD,-0.287906506459178,-,Left Replicating,-44
ERD,-0.16637821664155,+,Left Replicating,-44
LRD,-0.332843741545433,-,Left Replicating,-44
LRD,-0.117676537500377,+,Left Replicating,-44
ERD,-0.286597074815594,-,Left Replicating,-45
ERD,-0.160438614602197,+,Left Replicating,-45
LRD,-0.508323994318368,-,Left Replicating,-45
LRD,-0.00288054427970664,+,Left Replicating,-45
ERD,-0.265341754828423,-,Left Replicating,-46
ERD,-0.212973595279651,+,Left Replicating,-46
LRD,-0.531146939563667,-,Left Replicating,-46
LRD,-0.217343318509783,+,Left Replicating,-46
ERD,-0.289264269432244,-,Left Replicating,-47
ERD,-0.0889703493515185,+,Left Replicating,-47
LRD,-0.578801962722216,-,Left Replicating,-47
LRD,-0.0104477792868586,+,Left Replicating,-47
ERD,-0.340959394331853,-,Left Replicating,-48
ERD,-0.185571847532873,+,Left Replicating,-48
LRD,-0.551131466706169,-,Left Replicating,-48
LRD,-0.194727045222397,+,Left Replicating,-48
ERD,-0.225571152044728,-,Left Replicating,-49
ERD,-0.213207262346262,+,Left Replicating,-49
LRD,-0.350079129968028,-,Left Replicating,-49
LRD,-0.123823817762786,+,Left Replicating,-49
ERD,-0.168536499284749,-,Left Replicating,-5
ERD,-0.244998957089404,+,Left Replicating,-5
LRD,-0.192003143398493,-,Left Replicating,-5
LRD,-0.125243132677391,+,Left Replicating,-5
ERD,-0.270721389231861,-,Left Replicating,-50
ERD,-0.148200098444967,+,Left Replicating,-50
LRD,-0.228526245356806,-,Left Replicating,-50
LRD,-0.0297030343684515,+,Left Replicating,-50
ERD,-0.0756037537784995,-,Left Replicating,-51
ERD,-0.192578827640301,+,Left Replicating,-51
LRD,-0.543411551389775,-,Left Replicating,-51
LRD,-0.214605008009252,+,Left Replicating,-51
ERD,-0.0885631660211588,-,Left Replicating,-52
ERD,-0.0470499889438002,+,Left Replicating,-52
LRD,-0.338946592117472,-,Left Replicating,-52
LRD,-0.0723251784088609,+,Left Replicating,-52
ERD,-0.303059368916408,-,Left Replicating,-53
ERD,-0.142584182834263,+,Left Replicating,-53
LRD,-0.462174310520349,-,Left Replicating,-53
LRD,-0.0565324478061651,+,Left Replicating,-53
ERD,-0.160185891307814,-,Left Replicating,-54
ERD,-0.181130831836627,+,Left Replicating,-54
LRD,-0.31838437531562,-,Left Replicating,-54
LRD,-0.114320932163475,+,Left Replicating,-54
ERD,-0.238607928258534,-,Left Replicating,-55
ERD,-0.107329814116959,+,Left Replicating,-55
LRD,-0.380354157740958,-,Left Replicating,-55
LRD,-0.145398128866857,+,Left Replicating,-55
ERD,-0.158818889536197,-,Left Replicating,-56
ERD,-0.163615469529332,+,Left Replicating,-56
LRD,-0.452877561150364,-,Left Replicating,-56
LRD,-0.237812336379918,+,Left Replicating,-56
ERD,-0.229316318290551,-,Left Replicating,-57
ERD,-0.181567212170213,+,Left Replicating,-57
LRD,-0.360208486849296,-,Left Replicating,-57
LRD,-0.0437104988944698,+,Left Replicating,-57
ERD,-0.052759301309189,-,Left Replicating,-58
ERD,-0.156935868337214,+,Left Replicating,-58
LRD,-0.447473697729209,-,Left Replicating,-58
LRD,-0.137923650400476,+,Left Replicating,-58
ERD,-0.170238770500954,-,Left Replicating,-59
ERD,-0.118885566832883,+,Left Replicating,-59
LRD,-0.530976300446681,-,Left Replicating,-59
LRD,-0.0136744873400263,+,Left Replicating,-59
ERD,-0.0148540520041794,-,Left Replicating,-6
ERD,-0.186979082925751,+,Left Replicating,-6
LRD,-0.123441438400584,-,Left Replicating,-6
LRD,-0.204688437596526,+,Left Replicating,-6
ERD,-0.261061402610898,-,Left Replicating,-60
ERD,-0.0876771546071517,+,Left Replicating,-60
LRD,-0.411815706875095,-,Left Replicating,-60
LRD,-0.293889371182331,+,Left Replicating,-60
ERD,-0.227672748778859,-,Left Replicating,-61
ERD,-0.282072810886101,+,Left Replicating,-61
LRD,-0.401844763610443,-,Left Replicating,-61
LRD,-0.0158906027554163,+,Left Replicating,-61
ERD,-0.131305388646826,-,Left Replicating,-62
ERD,-0.131149532040629,+,Left Replicating,-62
LRD,-0.658484611227513,-,Left Replicating,-62
LRD,-0.0624652317080326,+,Left Replicating,-62
ERD,-0.156263077434869,-,Left Replicating,-63
ERD,-0.164225898501052,+,Left Replicating,-63
LRD,-0.418500342055696,-,Left Replicating,-63
LRD,-0.12002031495765,+,Left Replicating,-63
ERD,-0.189425567536443,-,Left Replicating,-64
ERD,-0.056721876206952,+,Left Replicating,-64
LRD,-0.367265334411754,-,Left Replicating,-64
LRD,-0.0401992789159346,+,Left Replicating,-64
ERD,-0.0929795874511604,-,Left Replicating,-65
ERD,-0.194500182940033,+,Left Replicating,-65
LRD,-0.59729893178943,-,Left Replicating,-65
LRD,-0.0603310696002515,+,Left Replicating,-65
ERD,-0.337891661950325,-,Left Replicating,-66
ERD,-0.206272135574741,+,Left Replicating,-66
LRD,-0.44958791324391,-,Left Replicating,-66
LRD,-0.139176085611233,+,Left Replicating,-66
ERD,-0.139143260156378,-,Left Replicating,-67
ERD,-0.218870189050087,+,Left Replicating,-67
LRD,-0.473298223450287,-,Left Replicating,-67
LRD,-0.16926711788891,+,Left Replicating,-67
ERD,-0.165464987366703,-,Left Replicating,-68
ERD,-0.112166807676879,+,Left Replicating,-68
LRD,-0.489435431533318,-,Left Replicating,-68
LRD,-0.184325767557108,+,Left Replicating,-68
ERD,-0.227951425735066,-,Left Replicating,-69
ERD,-0.224555641159233,+,Left Replicating,-69
LRD,-0.367352042558028,-,Left Replicating,-69
LRD,0.0389856167238872,+,Left Replicating,-69
ERD,-0.234888820152884,-,Left Replicating,-7
ERD,-0.178346600735402,+,Left Replicating,-7
LRD,-0.37074483356974,-,Left Replicating,-7
LRD,0.01545197161105,+,Left Replicating,-7
ERD,-0.222074824864538,-,Left Replicating,-70
ERD,-0.237524367537553,+,Left Replicating,-70
LRD,-0.595701377373994,-,Left Replicating,-70
LRD,-0.255994878354257,+,Left Replicating,-70
ERD,-0.124949474315845,-,Left Replicating,-71
ERD,-0.168129312176103,+,Left Replicating,-71
LRD,-0.398137177888547,-,Left Replicating,-71
LRD,0.0547699567254104,+,Left Replicating,-71
ERD,-0.19418825979451,-,Left Replicating,-72
ERD,-0.157456862700342,+,Left Replicating,-72
LRD,-0.421003498940601,-,Left Replicating,-72
LRD,-0.0022427625274476,+,Left Replicating,-72
ERD,-0.150144510010233,-,Left Replicating,-73
ERD,-0.10520372976831,+,Left Replicating,-73
LRD,-0.487199889943579,-,Left Replicating,-73
LRD,-0.182211488374968,+,Left Replicating,-73
ERD,-0.279942927851031,-,Left Replicating,-74
ERD,-0.142640749871687,+,Left Replicating,-74
LRD,-0.455028975836265,-,Left Replicating,-74
LRD,-0.00238086880898219,+,Left Replicating,-74
ERD,-0.208885585582182,-,Left Replicating,-75
ERD,-0.235089584681917,+,Left Replicating,-75
LRD,-0.336586731071445,-,Left Replicating,-75
LRD,0.0170542229024286,+,Left Replicating,-75
ERD,-0.263148729714694,-,Left Replicating,-76
ERD,-0.266175010995461,+,Left Replicating,-76
LRD,-0.488927870878478,-,Left Replicating,-76
LRD,-0.0227673653628966,+,Left Replicating,-76
ERD,-0.229859004958722,-,Left Replicating,-77
ERD,-0.165047790517596,+,Left Replicating,-77
LRD,-0.452528817315933,-,Left Replicating,-77
LRD,-0.183436761285137,+,Left Replicating,-77
ERD,-0.292463136763595,-,Left Replicating,-78
ERD,-0.132704898857533,+,Left Replicating,-78
LRD,-0.473371734095904,-,Left Replicating,-78
LRD,-0.062675743605069,+,Left Replicating,-78
ERD,-0.161420716538951,-,Left Replicating,-79
ERD,-0.271662213658122,+,Left Replicating,-79
LRD,-0.5156561395223,-,Left Replicating,-79
LRD,0.0309700635417991,+,Left Replicating,-79
ERD,-0.146806789110408,-,Left Replicating,-8
ERD,-0.259657597824252,+,Left Replicating,-8
LRD,-0.455141229391353,-,Left Replicating,-8
LRD,-0.14163442838324,+,Left Replicating,-8
ERD,-0.4167733581156,-,Left Replicating,-80
ERD,-0.0477802759092571,+,Left Replicating,-80
LRD,-0.319485950622726,-,Left Replicating,-80
LRD,-0.0833039679690966,+,Left Replicating,-80
ERD,-0.181049554135277,-,Left Replicating,-81
ERD,-0.213121240885826,+,Left Replicating,-81
LRD,-0.463253368345783,-,Left Replicating,-81
LRD,-0.0269148616791243,+,Left Replicating,-81
ERD,-0.223065239310567,-,Left Replicating,-82
ERD,-0.159738361394551,+,Left Replicating,-82
LRD,-0.484477752550201,-,Left Replicating,-82
LRD,-0.236591104074243,+,Left Replicating,-82
ERD,-0.137293943827376,-,Left Replicating,-83
ERD,-0.107883266404482,+,Left Replicating,-83
LRD,-0.575169429146236,-,Left Replicating,-83
LRD,-0.213505575226519,+,Left Replicating,-83
ERD,-0.29977002433411,-,Left Replicating,-84
ERD,-0.0970941664784591,+,Left Replicating,-84
LRD,-0.537445636239352,-,Left Replicating,-84
