yAxis,boxOdds,boxCILow,boxCIHigh
Active Promoter,0.0827025893302493,-0.550042516371997,0.716332480287987
C. Strong Enh.,0.0989584800881688,-0.749038426466781,0.944858445807539
C. Weak Enh.,0.528071164578735,0.150559676575381,0.906890595608518
Distal CTCF/C. Insulator,0.192825403552391,-1.31832585820717,1.70398660386343
HET/Rep./C.N.V.,2.17312743348066,2.07107616201096,2.27560307933685
Inactive Promoter,1.40441269682765,-2.01100635965702,4.81965285733459
Low Activity Proximal,1.14730669878029,1.11103131238874,1.18396283484259
Polycomb Repressed,0.895302621333307,0.728573602559365,1.06281249240502
Promoter Flanking,0.612588406698718,0.00432160595009347,1.22156778853841
Transcription Associated,0.740711733399101,0.506906554580693,0.974529312483882
