chromosomes,start_position,end_position,dataset,score,dataset_strand,product,windows,phase,time_after_exposure,repdomains,sample_strand,replicate,real,sim,xr_ds
.,0,100,Initiation Zones,0,.,64_PP,76,early,12,ERD,-,_,1.3666454142578,1.58536915970751,0.862036079035335
.,0,100,Initiation Zones,0,.,64_PP,76,early,12,ERD,+,_,1.23143878930537,1.5201325265518,0.810086467986252
.,0,100,Initiation Zones,0,.,64_PP,76,early,12,LRD,-,_,0.658124037825322,0.899105665025604,0.731976299811859
.,0,100,Initiation Zones,0,.,64_PP,76,early,12,LRD,+,_,0.598305047771914,0.791754087972373,0.755670298216118
.,0,100,Initiation Zones,0,.,64_PP,77,early,12,ERD,-,_,1.34676611044007,1.52180503264251,0.884979403768633
.,0,100,Initiation Zones,0,.,64_PP,77,early,12,ERD,+,_,1.31791877153812,1.49527449578506,0.881389186569507
.,0,100,Initiation Zones,0,.,64_PP,77,early,12,LRD,-,_,0.627736343857759,0.863660449041206,0.726832338512944
.,0,100,Initiation Zones,0,.,64_PP,77,early,12,LRD,+,_,0.575615419495407,0.721558989468373,0.797738546531735
.,0,100,Initiation Zones,0,.,64_PP,78,early,12,ERD,-,_,1.35814385150568,1.57291629551103,0.863455897419146
.,0,100,Initiation Zones,0,.,64_PP,78,early,12,ERD,+,_,1.3701444600491,1.43205102723694,0.956770697405046
.,0,100,Initiation Zones,0,.,64_PP,78,early,12,LRD,-,_,0.664387682016563,0.75245534491973,0.882959615480489
.,0,100,Initiation Zones,0,.,64_PP,78,early,12,LRD,+,_,0.636582437639211,0.779609370289155,0.816540259647091
.,0,100,Initiation Zones,0,.,64_PP,79,early,12,ERD,-,_,1.37127019158381,1.56982187446198,0.873519610021855
.,0,100,Initiation Zones,0,.,64_PP,79,early,12,ERD,+,_,1.39135325883471,1.50686577094618,0.923342533662475
.,0,100,Initiation Zones,0,.,64_PP,79,early,12,LRD,-,_,0.581106578702066,0.826319106254671,0.703247176912026
.,0,100,Initiation Zones,0,.,64_PP,79,early,12,LRD,+,_,0.609708386553705,0.780318378775898,0.781358485378964
.,0,100,Initiation Zones,0,.,64_PP,8,early,12,ERD,-,_,1.24891646108389,1.59478892667204,0.783123358957658
.,0,100,Initiation Zones,0,.,64_PP,8,early,12,ERD,+,_,1.27989475575178,1.50312421812189,0.851489677513792
.,0,100,Initiation Zones,0,.,64_PP,8,early,12,LRD,-,_,0.739352838639196,0.696388327045057,1.06169619725886
.,0,100,Initiation Zones,0,.,64_PP,8,early,12,LRD,+,_,0.84497467273051,0.771583242017035,1.09511796876461
.,0,100,Initiation Zones,0,.,64_PP,80,early,12,ERD,-,_,1.25599806700166,1.57480768095795,0.797556477650429
.,0,100,Initiation Zones,0,.,64_PP,80,early,12,ERD,+,_,1.32826167660775,1.38364380174408,0.959973712116858
.,0,100,Initiation Zones,0,.,64_PP,80,early,12,LRD,-,_,0.60573321427924,0.841352697668225,0.719951592189583
.,0,100,Initiation Zones,0,.,64_PP,80,early,12,LRD,+,_,0.59448834082957,0.731814907620022,0.812347951154672
.,0,100,Initiation Zones,0,.,64_PP,81,early,12,ERD,-,_,1.40945628210104,1.58646550747274,0.888425418303813
.,0,100,Initiation Zones,0,.,64_PP,81,early,12,ERD,+,_,1.34826643192596,1.44887995677752,0.930557721927956
.,0,100,Initiation Zones,0,.,64_PP,81,early,12,LRD,-,_,0.599379102562887,0.740837339327916,0.80905628097342
.,0,100,Initiation Zones,0,.,64_PP,81,early,12,LRD,+,_,0.650516574280122,0.823854275687859,0.789601502932041
.,0,100,Initiation Zones,0,.,64_PP,82,early,12,ERD,-,_,1.33689769077204,1.59165499255078,0.839941882524135
.,0,100,Initiation Zones,0,.,64_PP,82,early,12,ERD,+,_,1.31669332119668,1.44147955875652,0.913431836891614
.,0,100,Initiation Zones,0,.,64_PP,82,early,12,LRD,-,_,0.672138944217451,0.786894595503239,0.854166425920871
.,0,100,Initiation Zones,0,.,64_PP,82,early,12,LRD,+,_,0.587308163716293,0.724893620546201,0.810199106558231
.,0,100,Initiation Zones,0,.,64_PP,83,early,12,ERD,-,_,1.37595131481098,1.55612178810809,0.884218269627753
.,0,100,Initiation Zones,0,.,64_PP,83,early,12,ERD,+,_,1.33860052433692,1.51650925187791,0.88268536619827
.,0,100,Initiation Zones,0,.,64_PP,83,early,12,LRD,-,_,0.668288196783783,0.709781124197286,0.941541235743021
.,0,100,Initiation Zones,0,.,64_PP,83,early,12,LRD,+,_,0.592702940583038,0.766002349956852,0.773761256236909
.,0,100,Initiation Zones,0,.,64_PP,84,early,12,ERD,-,_,1.32059007996535,1.6897256681668,0.781541113356036
.,0,100,Initiation Zones,0,.,64_PP,84,early,12,ERD,+,_,1.28372824250581,1.62798886696253,0.788536253875597
.,0,100,Initiation Zones,0,.,64_PP,84,early,12,LRD,-,_,0.670741350725432,0.782512602733966,0.857163639770114
.,0,100,Initiation Zones,0,.,64_PP,84,early,12,LRD,+,_,0.565380392503589,0.797522831033522,0.708920635878103
.,0,100,Initiation Zones,0,.,64_PP,85,early,12,ERD,-,_,1.49125857232646,1.52376802876085,0.978665088241268
.,0,100,Initiation Zones,0,.,64_PP,85,early,12,ERD,+,_,1.38859825911038,1.49526402882056,0.928664257512894
.,0,100,Initiation Zones,0,.,64_PP,85,early,12,LRD,-,_,0.622058510753424,0.809838131202406,0.768126971040279
.,0,100,Initiation Zones,0,.,64_PP,85,early,12,LRD,+,_,0.617660783565348,0.703297920651458,0.878234906472089
.,0,100,Initiation Zones,0,.,64_PP,86,early,12,ERD,-,_,1.48466073687668,1.60959150959221,0.922383553857598
.,0,100,Initiation Zones,0,.,64_PP,86,early,12,ERD,+,_,1.36494479263606,1.51139517834914,0.903102518910344
.,0,100,Initiation Zones,0,.,64_PP,86,early,12,LRD,-,_,0.626302655776625,0.808778554034535,0.774380889122688
.,0,100,Initiation Zones,0,.,64_PP,86,early,12,LRD,+,_,0.633175587365982,0.705825171906366,0.897071417353728
.,0,100,Initiation Zones,0,.,64_PP,87,early,12,ERD,-,_,1.39414693555482,1.60875284891607,0.866601067090046
.,0,100,Initiation Zones,0,.,64_PP,87,early,12,ERD,+,_,1.42642879230435,1.55908559107379,0.914913716393158
.,0,100,Initiation Zones,0,.,64_PP,87,early,12,LRD,-,_,0.592291156827815,0.786411457671677,0.753156825285083
.,0,100,Initiation Zones,0,.,64_PP,87,early,12,LRD,+,_,0.624804404611048,0.787428989116485,0.79347396812517
