chromosomes,start_position,end_position,dataset,score,dataset_strand,product,phase,windows,time_after_exposure,sample_strand,replicate,real_sim
.,0,10000,ERD,0,.,64_PP,early,-100,12,-,_,0.985322346964464
.,0,10000,ERD,0,.,64_PP,early,-100,12,+,_,1.00838928953127
.,0,10000,ERD,0,.,64_PP,early,-99,12,-,_,1.01804210250852
.,0,10000,ERD,0,.,64_PP,early,-99,12,+,_,1.00219104967075
.,0,10000,ERD,0,.,64_PP,early,-98,12,-,_,1.01408530545511
.,0,10000,ERD,0,.,64_PP,early,-98,12,+,_,1.02510359813856
.,0,10000,ERD,0,.,64_PP,early,-97,12,-,_,1.00935768112314
.,0,10000,ERD,0,.,64_PP,early,-97,12,+,_,1.03696252851847
.,0,10000,ERD,0,.,64_PP,early,-96,12,-,_,1.03319921102311
.,0,10000,ERD,0,.,64_PP,early,-96,12,+,_,0.97176794050881
.,0,10000,ERD,0,.,64_PP,early,-95,12,-,_,1.0388886865014
.,0,10000,ERD,0,.,64_PP,early,-95,12,+,_,1.05338864621784
.,0,10000,ERD,0,.,64_PP,early,-94,12,-,_,1.0190519569961
.,0,10000,ERD,0,.,64_PP,early,-94,12,+,_,1.04741484742869
.,0,10000,ERD,0,.,64_PP,early,-93,12,-,_,1.06833041239284
.,0,10000,ERD,0,.,64_PP,early,-93,12,+,_,1.03519984235884
.,0,10000,ERD,0,.,64_PP,early,-92,12,-,_,1.00337813204283
.,0,10000,ERD,0,.,64_PP,early,-92,12,+,_,0.947138703241928
.,0,10000,ERD,0,.,64_PP,early,-91,12,-,_,0.969116275707243
.,0,10000,ERD,0,.,64_PP,early,-91,12,+,_,1.00857791534943
.,0,10000,ERD,0,.,64_PP,early,-90,12,-,_,1.00027075704626
.,0,10000,ERD,0,.,64_PP,early,-90,12,+,_,1.00939097196883
.,0,10000,ERD,0,.,64_PP,early,-89,12,-,_,1.00045129767258
.,0,10000,ERD,0,.,64_PP,early,-89,12,+,_,0.958855356297629
.,0,10000,ERD,0,.,64_PP,early,-88,12,-,_,0.992695805300831
.,0,10000,ERD,0,.,64_PP,early,-88,12,+,_,0.999318576832414
.,0,10000,ERD,0,.,64_PP,early,-87,12,-,_,0.99512960272933
.,0,10000,ERD,0,.,64_PP,early,-87,12,+,_,1.03559054730984
.,0,10000,ERD,0,.,64_PP,early,-86,12,-,_,1.00699474711814
.,0,10000,ERD,0,.,64_PP,early,-86,12,+,_,1.02346008500205
.,0,10000,ERD,0,.,64_PP,early,-85,12,-,_,1.02496617725887
.,0,10000,ERD,0,.,64_PP,early,-85,12,+,_,0.964162839981519
.,0,10000,ERD,0,.,64_PP,early,-84,12,-,_,0.993720618103804
.,0,10000,ERD,0,.,64_PP,early,-84,12,+,_,1.06966840338682
.,0,10000,ERD,0,.,64_PP,early,-83,12,-,_,0.972574449010871
.,0,10000,ERD,0,.,64_PP,early,-83,12,+,_,0.97773176151165
.,0,10000,ERD,0,.,64_PP,early,-82,12,-,_,0.989984244563939
.,0,10000,ERD,0,.,64_PP,early,-82,12,+,_,0.986198590876246
.,0,10000,ERD,0,.,64_PP,early,-81,12,-,_,1.05731546944515
.,0,10000,ERD,0,.,64_PP,early,-81,12,+,_,0.986244454488498
.,0,10000,ERD,0,.,64_PP,early,-80,12,-,_,1.05758742156033
.,0,10000,ERD,0,.,64_PP,early,-80,12,+,_,1.01414632405924
.,0,10000,ERD,0,.,64_PP,early,-79,12,-,_,1.05027757427104
