chromosomes,start_position,end_position,dataset,score,dataset_strand,product,windows,phase,time_after_exposure,repdomains,sample_strand,replicate,real,sim,xr_ds
.,0,100,Initiation Zones,0,.,64_PP,50,late,12,ERD,-,_,1.25796526720063,1.40897432762941,0.892823412416002
.,0,100,Initiation Zones,0,.,64_PP,50,late,12,ERD,+,_,1.32758368725084,1.35280021793097,0.981359752647957
.,0,100,Initiation Zones,0,.,64_PP,50,late,12,LRD,-,_,0.736561525032817,0.745095666087063,0.988546247894497
.,0,100,Initiation Zones,0,.,64_PP,50,late,12,LRD,+,_,0.683364671633276,0.839070116230376,0.814430949708201
.,0,100,Initiation Zones,0,.,64_PP,51,late,12,ERD,-,_,1.29206806738177,1.45741157701562,0.88654988594751
.,0,100,Initiation Zones,0,.,64_PP,51,late,12,ERD,+,_,1.47194917287977,1.54697106461621,0.951504010997743
.,0,100,Initiation Zones,0,.,64_PP,51,late,12,LRD,-,_,0.74489327942637,0.718091600066868,1.03732348262674
.,0,100,Initiation Zones,0,.,64_PP,51,late,12,LRD,+,_,0.728892155770115,0.725142686538846,1.00517066406498
.,0,100,Initiation Zones,0,.,64_PP,52,late,12,ERD,-,_,1.28627616520923,1.53855452965283,0.836028974221329
.,0,100,Initiation Zones,0,.,64_PP,52,late,12,ERD,+,_,1.34143974846531,1.57725855237355,0.85048817547804
.,0,100,Initiation Zones,0,.,64_PP,52,late,12,LRD,-,_,0.725273225798597,0.872063723246021,0.831674574306295
.,0,100,Initiation Zones,0,.,64_PP,52,late,12,LRD,+,_,0.719529852138488,0.709148758687774,1.0146388093098
.,0,100,Initiation Zones,0,.,64_PP,53,late,12,ERD,-,_,1.31954152533524,1.54004682308605,0.856819095078582
.,0,100,Initiation Zones,0,.,64_PP,53,late,12,ERD,+,_,1.12807460517325,1.53073845810654,0.736947973835207
.,0,100,Initiation Zones,0,.,64_PP,53,late,12,LRD,-,_,0.67313159778432,0.691362152780748,0.973630961829336
.,0,100,Initiation Zones,0,.,64_PP,53,late,12,LRD,+,_,0.673243302330915,0.738074765768117,0.912161387376886
.,0,100,Initiation Zones,0,.,64_PP,54,late,12,ERD,-,_,1.23306222957538,1.51427157694025,0.814293980256114
.,0,100,Initiation Zones,0,.,64_PP,54,late,12,ERD,+,_,1.30818136604496,1.47218429469938,0.888598914385299
.,0,100,Initiation Zones,0,.,64_PP,54,late,12,LRD,-,_,0.743735825601318,0.902590600848325,0.824001296825269
.,0,100,Initiation Zones,0,.,64_PP,54,late,12,LRD,+,_,0.711524330336768,0.742329221782284,0.958502386082074
.,0,100,Initiation Zones,0,.,64_PP,55,late,12,ERD,-,_,1.24930639033964,1.56406564120173,0.79875572829523
.,0,100,Initiation Zones,0,.,64_PP,55,late,12,ERD,+,_,1.31261537813188,1.55585319513075,0.84366274545689
.,0,100,Initiation Zones,0,.,64_PP,55,late,12,LRD,-,_,0.62353802868274,0.626001219774958,0.996065197615583
.,0,100,Initiation Zones,0,.,64_PP,55,late,12,LRD,+,_,0.635646306305562,0.763977463871447,0.832022325743002
.,0,100,Initiation Zones,0,.,64_PP,56,late,12,ERD,-,_,1.29416495075437,1.55160486308409,0.834081525229299
.,0,100,Initiation Zones,0,.,64_PP,56,late,12,ERD,+,_,1.12734247941378,1.4062464005672,0.801667815084945
