dataset,chromosomes,start_position,end_position,score,dataset_strand,product,phase,method,sample_strand,windows,repdomains,12,120,diff
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-24,ERD,0.175130108728743,0.170979179899728,0.0237019714036966
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-24,LRD,0.123498998174534,0.13096223101703,-0.0604315253792433
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-23,ERD,0.186452137766227,0.163033858926717,0.125599411838719
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-23,LRD,0.149685032171427,0.147029356581619,0.0177417578182864
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-22,ERD,0.191751810932709,0.171701481806365,0.104563962284455
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-22,LRD,0.135884284524416,0.135509530705121,0.00275788933655181
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-21,ERD,0.174166531789382,0.165200764646629,0.051478128723351
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-21,LRD,0.150746628144274,0.150212466363283,0.00354344098814451
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-20,ERD,0.175371002963583,0.16984413404644,0.0315152951385585
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-20,LRD,0.130222439335899,0.145210436706383,-0.11509535105408
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-19,ERD,0.169830435562261,0.170360063979753,-0.00311857186103654
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-19,LRD,0.136238149848698,0.146271473300271,-0.0736454764154896
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-18,ERD,0.189583762819148,0.171185551873053,0.0970452884387892
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-18,LRD,0.145792513604321,0.147938816519238,-0.0147216263843362
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-17,ERD,0.174648320259063,0.175519363312877,-0.00498741157385454
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-17,LRD,0.124914459471664,0.140208407049482,-0.122435366109781
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-16,ERD,0.180188887660384,0.164891206686642,0.0848980265785071
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-16,LRD,0.141546129712933,0.14687777992535,-0.0376672270957115
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-15,ERD,0.183079618478466,0.164891206686642,0.0993470051062153
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-15,LRD,0.132345631281593,0.14126944364337,-0.0674280841412154
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-14,ERD,0.178984416486184,0.165407136619954,0.0758573295529238
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-14,LRD,0.119252614283146,0.139753677080673,-0.17191290036502
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-13,ERD,0.169107752857741,0.162827486953392,0.0371376580802411
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-13,LRD,0.117837152986017,0.132629574235997,-0.125532744767985
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-12,ERD,0.192233599402389,0.175209805352889,0.088557848900622
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-12,LRD,0.140484533740086,0.140966290330831,-0.00342925002431731
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-11,ERD,0.174648320259063,0.166335810499916,0.0475957040228964
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-11,LRD,0.136238149848698,0.15187980958225,-0.114811157894633
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-10,ERD,0.178261733781664,0.167264484379878,0.0616915878045641
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-10,LRD,0.135530419200134,0.145968319987731,-0.0770151885399554
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-9,ERD,0.175371002963583,0.169018646153141,0.0362223896943857
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-9,LRD,0.126329920768793,0.139753677080673,-0.106259516591069
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-8,ERD,0.170794012501621,0.168915460166478,0.0109989355459703
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-8,LRD,0.123498998174534,0.137783180549167,-0.115662333992746
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-7,ERD,0.185006772357186,0.164272090766667,0.112075257172142
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-7,LRD,0.135884284524416,0.140359983705752,-0.0329375777118044
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-6,ERD,0.177298156842303,0.165097578659966,0.0688139030863628
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-6,LRD,0.141899995037216,0.144907283393843,-0.0211930124158129
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-5,ERD,0.16693970474418,0.160144651300167,0.0407036388043525
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-5,LRD,0.152515954765686,0.15172823292598,0.00516484875904109
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-4,ERD,0.190547339758508,0.165407136619954,0.131936783638208
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-4,LRD,0.138361341794392,0.149606159738204,-0.0812713854750114
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-3,ERD,0.184765878122346,0.166954926419891,0.0963974078084984
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-3,LRD,0.123852863498817,0.145968319987731,-0.178562334888008
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-2,ERD,0.185488560826866,0.176035293246189,0.0509641540078626
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-2,LRD,0.138715207118675,0.145665166675192,-0.0501023622490876
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-1,ERD,0.179225310721024,0.156739513740306,0.125461057315276
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,-1,LRD,0.13800747647011,0.153395576144947,-0.111501927782657
Initiation Zones,.,0,100,0,.,CPD,late,Damage_seq,+,0,ERD,0.189583762819148,0.163859346820017,0.135688919855815
