dataset,chromosomes,start_position,end_position,score,dataset_strand,counts,sample_names,file_names,layout,cell_line,product,method,uv_exposure,treatment,phase,time_after_exposure,replicate,project,sample_source,sample_strand,mapped_reads,RPKM,windows,repdomains
iz,.,0,100,0,.,0.297183098591549,Hela_64_DS_NA_early_12_NA,HDE64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,early,12,_,repair_replication,Sancar,+,17494739,0.169869981250677,-100,ERD
iz,.,0,100,0,.,0.292957746478873,Hela_64_DS_NA_late_12_NA,HDL64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,15878083,0.184504481100693,-100,ERD
iz,.,0,100,0,.,0.265727699530516,Hela_64_DS_NA_late_12_NA,HDL64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,15878083,0.16735502612659,-100,ERD
iz,.,0,100,0,.,0.313145539906103,Hela_64_DS_NA_early_12_NA,HDE64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,early,12,_,repair_replication,Sancar,-,17494739,0.178994119264142,-100,ERD
iz,.,0,100,0,.,0.280281690140845,Hela_64_DS_NA_late_12_NA,HDL64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,15878083,0.17652111412999,-91,ERD
iz,.,0,100,0,.,0.296713615023474,Hela_64_DS_NA_early_12_NA,HDE64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,early,12,_,repair_replication,Sancar,-,17494739,0.169601624250281,-91,ERD
iz,.,0,100,0,.,0.295774647887324,Hela_64_DS_NA_late_12_NA,HDL64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,15878083,0.186278562649738,-91,ERD
iz,.,0,100,0,.,0.274178403755869,Hela_64_DS_NA_early_12_NA,HDE64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,early,12,_,repair_replication,Sancar,+,17494739,0.156720488231273,-91,ERD
iz,.,0,100,0,.,0.298591549295775,Hela_64_DS_NA_early_12_NA,HDE64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,early,12,_,repair_replication,Sancar,-,17494739,0.170675052251865,-1,ERD
iz,.,0,100,0,.,0.299530516431925,Hela_64_DS_NA_early_12_NA,HDE64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,early,12,_,repair_replication,Sancar,+,17494739,0.171211766252657,-1,ERD
iz,.,0,100,0,.,0.277934272300469,Hela_64_DS_NA_late_12_NA,HDL64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,15878083,0.175042712839119,-1,ERD
