repdomains,log2val,sample_strand,direction,windows
LRD,-0.775329240724874,+,Left Replicating,-37
ERD,0.17579240116859,-,Left Replicating,-38
ERD,0.198341157901514,+,Left Replicating,-38
LRD,-1.23061707228834,-,Left Replicating,-38
LRD,-0.699082749710342,+,Left Replicating,-38
ERD,-0.0201135543435713,-,Left Replicating,-39
ERD,0.0400023864124371,+,Left Replicating,-39
LRD,-1.63744260261636,-,Left Replicating,-39
LRD,-0.72303070566702,+,Left Replicating,-39
ERD,0.337728318910571,-,Left Replicating,-4
ERD,0.121174496742601,+,Left Replicating,-4
LRD,-0.707270550502686,-,Left Replicating,-4
LRD,-0.272470144210233,+,Left Replicating,-4
ERD,0.193199914056599,-,Left Replicating,-40
ERD,0.203026127081523,+,Left Replicating,-40
LRD,-1.51570597162735,-,Left Replicating,-40
LRD,-1.27262951210355,+,Left Replicating,-40
ERD,0.048842179884873,-,Left Replicating,-41
ERD,-0.0185486885920754,+,Left Replicating,-41
LRD,-1.16059045407823,-,Left Replicating,-41
LRD,-1.20853494665417,+,Left Replicating,-41
ERD,0.119466028628185,-,Left Replicating,-42
ERD,0.0777822727606516,+,Left Replicating,-42
LRD,-1.13155886767003,-,Left Replicating,-42
LRD,-1.00983820917906,+,Left Replicating,-42
ERD,0.113568227558219,-,Left Replicating,-43
ERD,0.200890238636201,+,Left Replicating,-43
LRD,-1.52981073571145,-,Left Replicating,-43
LRD,-0.57775576698503,+,Left Replicating,-43
ERD,0.161405942909877,-,Left Replicating,-44
ERD,-0.00432305470787023,+,Left Replicating,-44
LRD,-1.18700722111508,-,Left Replicating,-44
LRD,-0.604155508344543,+,Left Replicating,-44
ERD,0.0786785246574438,-,Left Replicating,-45
ERD,0.165918743900001,+,Left Replicating,-45
LRD,-0.895268258418033,-,Left Replicating,-45
LRD,-0.727720763921501,+,Left Replicating,-45
ERD,-0.0308843088559052,-,Left Replicating,-46
ERD,0.117688148222583,+,Left Replicating,-46
LRD,-1.25650643639808,-,Left Replicating,-46
LRD,-1.13503911418831,+,Left Replicating,-46
ERD,0.174779576176417,-,Left Replicating,-47
ERD,0.0648474504031692,+,Left Replicating,-47
LRD,-1.14589885091328,-,Left Replicating,-47
LRD,-0.656841415041188,+,Left Replicating,-47
ERD,-0.0654769200387313,-,Left Replicating,-48
ERD,-0.00695353527153467,+,Left Replicating,-48
LRD,-1.2415480970991,-,Left Replicating,-48
LRD,-0.755236178283594,+,Left Replicating,-48
ERD,0.13735257903138,-,Left Replicating,-49
ERD,0.132456007620974,+,Left Replicating,-49
LRD,-1.50581812677266,-,Left Replicating,-49
LRD,-0.720361489959282,+,Left Replicating,-49
ERD,0.0286372859391828,-,Left Replicating,-5
ERD,0.204612798465613,+,Left Replicating,-5
LRD,-0.982683161632227,-,Left Replicating,-5
LRD,-0.686967440966974,+,Left Replicating,-5
ERD,0.223669090464168,-,Left Replicating,-50
ERD,0.232934859467706,+,Left Replicating,-50
LRD,-1.17271443448174,-,Left Replicating,-50
LRD,-0.743602983791793,+,Left Replicating,-50
ERD,0.147688226759854,-,Left Replicating,-51
ERD,0.111773961160183,+,Left Replicating,-51
LRD,-1.17968777815766,-,Left Replicating,-51
LRD,-0.676504751216845,+,Left Replicating,-51
ERD,0.197799818905694,-,Left Replicating,-52
ERD,0.186391651849151,+,Left Replicating,-52
LRD,-1.15168049780288,-,Left Replicating,-52
LRD,-0.935642716812,+,Left Replicating,-52
ERD,0.0335309406992055,-,Left Replicating,-53
ERD,0.237980907672318,+,Left Replicating,-53
LRD,-1.11557625681745,-,Left Replicating,-53
