repdomains,log2val,sample_strand,direction,windows
ERD,-0.182970969114859,-,Left Replicating,-1
ERD,-0.227803182824257,+,Left Replicating,-1
LRD,0.226403319198789,-,Left Replicating,-1
LRD,0.0808917533306556,+,Left Replicating,-1
ERD,-0.164454061509066,-,Left Replicating,-10
ERD,-0.311294344655446,+,Left Replicating,-10
LRD,0.136425047474222,-,Left Replicating,-10
LRD,-0.107663186424104,+,Left Replicating,-10
ERD,-0.114960983609454,-,Left Replicating,-100
ERD,-0.331424684927336,+,Left Replicating,-100
LRD,-0.0763790916498299,-,Left Replicating,-100
LRD,-0.42246205480898,+,Left Replicating,-100
ERD,0.0415642668004576,-,Left Replicating,-11
ERD,-0.283663337730232,+,Left Replicating,-11
LRD,-0.0725088155343891,-,Left Replicating,-11
LRD,0.214624211883259,+,Left Replicating,-11
ERD,-0.246636150002073,-,Left Replicating,-12
ERD,-0.223682989018768,+,Left Replicating,-12
LRD,0.0519825409499877,-,Left Replicating,-12
LRD,-0.00169861169748554,+,Left Replicating,-12
ERD,-0.190426336151625,-,Left Replicating,-13
ERD,-0.219018828229694,+,Left Replicating,-13
LRD,0.100638922163188,-,Left Replicating,-13
LRD,-0.0857564265469016,+,Left Replicating,-13
ERD,-0.184447627658401,-,Left Replicating,-14
ERD,-0.336498557212155,+,Left Replicating,-14
LRD,-0.122187561035887,-,Left Replicating,-14
LRD,-0.165095175603712,+,Left Replicating,-14
ERD,-0.173860714414255,-,Left Replicating,-15
ERD,-0.318815994335577,+,Left Replicating,-15
LRD,0.0550897571122562,-,Left Replicating,-15
LRD,-0.156408965987305,+,Left Replicating,-15
ERD,-0.173840186114353,-,Left Replicating,-16
ERD,-0.485055290328242,+,Left Replicating,-16
LRD,-0.0237261966033746,-,Left Replicating,-16
LRD,-0.152072062114346,+,Left Replicating,-16
ERD,-0.449519829236898,-,Left Replicating,-17
ERD,-0.275748017481657,+,Left Replicating,-17
LRD,0.013302241840199,-,Left Replicating,-17
LRD,-0.0423971795064307,+,Left Replicating,-17
ERD,-0.387437839781479,-,Left Replicating,-18
ERD,-0.233730784949248,+,Left Replicating,-18
LRD,0.109071428004097,-,Left Replicating,-18
LRD,-0.191360581270828,+,Left Replicating,-18
ERD,-0.262303041081182,-,Left Replicating,-19
ERD,-0.149676258938347,+,Left Replicating,-19
LRD,0.126939823299334,-,Left Replicating,-19
LRD,0.219282599578349,+,Left Replicating,-19
ERD,-0.219505852399088,-,Left Replicating,-2
ERD,-0.350978100888029,+,Left Replicating,-2
LRD,-0.00458233191716854,-,Left Replicating,-2
LRD,-0.0351422894016853,+,Left Replicating,-2
ERD,-0.130741440381493,-,Left Replicating,-20
