dataset,chromosomes,start_position,end_position,score,dataset_strand,counts,sample_names,file_names,layout,cell_line,product,method,uv_exposure,treatment,phase,time_after_exposure,replicate,project,sample_source,sample_strand,mapped_reads,RPKM,windows,repdomains
iz,.,0,100,0,.,0.140689655172414,Hela_CPD_XR_NA_late_12_NA,HXLC_comb,single,HeLa_S3,CPD,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,-,24781539,0.0567719604389436,-100,LRD
iz,.,0,100,0,.,0.107586206896552,Hela_CPD_XR_NA_late_12_NA,HXLC_comb,single,HeLa_S3,CPD,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,+,24781539,0.0434138521003686,-100,LRD
iz,.,0,100,0,.,0.121379310344828,Hela_CPD_XR_NA_late_12_NA,HXLC_comb,single,HeLa_S3,CPD,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,+,24781539,0.0489797305747749,-91,LRD
iz,.,0,100,0,.,0.148965517241379,Hela_CPD_XR_NA_late_12_NA,HXLC_comb,single,HeLa_S3,CPD,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,-,24781539,0.0601114875235873,-91,LRD
iz,.,0,100,0,.,0.152413793103448,Hela_CPD_XR_NA_late_12_NA,HXLC_comb,single,HeLa_S3,CPD,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,+,24781539,0.0615029571421889,-1,LRD
iz,.,0,100,0,.,0.166206896551724,Hela_CPD_XR_NA_late_12_NA,HXLC_comb,single,HeLa_S3,CPD,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,-,24781539,0.0670688356165951,-1,LRD
iz,.,0,100,0,.,0.17448275862069,Hela_CPD_XR_NA_late_12_NA,HXLC_comb,single,HeLa_S3,CPD,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,-,24781539,0.0704083627012389,0,LRD
iz,.,0,100,0,.,0.163448275862069,Hela_CPD_XR_NA_late_12_NA,HXLC_comb,single,HeLa_S3,CPD,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,+,24781539,0.0659556599217139,0,LRD
iz,.,0,100,0,.,0.155862068965517,Hela_CPD_XR_NA_late_12_NA,HXLC_comb,single,HeLa_S3,CPD,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,-,24781539,0.0628944267607905,1,LRD
iz,.,0,100,0,.,0.135862068965517,Hela_CPD_XR_NA_late_12_NA,HXLC_comb,single,HeLa_S3,CPD,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,+,24781539,0.0548239029729014,1,LRD
iz,.,0,100,0,.,0.166896551724138,Hela_CPD_XR_NA_late_12_NA,HXLC_comb,single,HeLa_S3,CPD,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,-,24781539,0.0673471295403155,2,LRD
iz,.,0,100,0,.,0.157241379310345,Hela_CPD_XR_NA_late_12_NA,HXLC_comb,single,HeLa_S3,CPD,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,+,24781539,0.0634510146082311,2,LRD
iz,.,0,100,0,.,0.164137931034483,Hela_CPD_XR_NA_late_12_NA,HXLC_comb,single,HeLa_S3,CPD,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,-,24781539,0.0662339538454342,3,LRD
iz,.,0,100,0,.,0.135172413793103,Hela_CPD_XR_NA_late_12_NA,HXLC_comb,single,HeLa_S3,CPD,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,+,24781539,0.0545456090491811,3,LRD
iz,.,0,100,0,.,0.149655172413793,Hela_CPD_XR_NA_late_12_NA,HXLC_comb,single,HeLa_S3,CPD,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,-,24781539,0.0603897814473077,4,LRD
iz,.,0,100,0,.,0.142758620689655,Hela_CPD_XR_NA_late_12_NA,HXLC_comb,single,HeLa_S3,CPD,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,+,24781539,0.0576068422101045,4,LRD
iz,.,0,100,0,.,0.175172413793103,Hela_CPD_XR_NA_late_12_NA,HXLC_comb,single,HeLa_S3,CPD,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,-,24781539,0.0706866566249592,5,LRD
iz,.,0,100,0,.,0.155862068965517,Hela_CPD_XR_NA_late_12_NA,HXLC_comb,single,HeLa_S3,CPD,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,+,24781539,0.0628944267607905,5,LRD
iz,.,0,100,0,.,0.149655172413793,Hela_CPD_XR_NA_late_12_NA,HXLC_comb,single,HeLa_S3,CPD,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,+,24781539,0.0603897814473077,6,LRD
