chromosomes,start_position,end_position,dataset,score,dataset_strand,product,phase,windows,time_after_exposure,sample_strand,replicate,real_sim
.,0,10000,LRD,0,.,64_PP,early,-100,12,-,_,0.954345161108976
.,0,10000,LRD,0,.,64_PP,early,-100,12,+,_,0.948210348098656
.,0,10000,LRD,0,.,64_PP,early,-99,12,-,_,0.948475216449739
.,0,10000,LRD,0,.,64_PP,early,-99,12,+,_,1.01856983797783
.,0,10000,LRD,0,.,64_PP,early,-98,12,-,_,0.973164355068242
.,0,10000,LRD,0,.,64_PP,early,-98,12,+,_,0.999641622800197
.,0,10000,LRD,0,.,64_PP,early,-97,12,-,_,0.996385394384363
.,0,10000,LRD,0,.,64_PP,early,-97,12,+,_,0.981305231656438
.,0,10000,LRD,0,.,64_PP,early,-96,12,-,_,0.984756558092347
.,0,10000,LRD,0,.,64_PP,early,-96,12,+,_,0.992712000372741
.,0,10000,LRD,0,.,64_PP,early,-95,12,-,_,0.97349312319776
.,0,10000,LRD,0,.,64_PP,early,-95,12,+,_,1.00329424841839
.,0,10000,LRD,0,.,64_PP,early,-94,12,-,_,0.987472776708473
.,0,10000,LRD,0,.,64_PP,early,-94,12,+,_,0.945585328284148
.,0,10000,LRD,0,.,64_PP,early,-93,12,-,_,1.01238392600012
.,0,10000,LRD,0,.,64_PP,early,-93,12,+,_,0.959137553419671
.,0,10000,LRD,0,.,64_PP,early,-92,12,-,_,0.991711126118953
.,0,10000,LRD,0,.,64_PP,early,-92,12,+,_,0.961822697462661
.,0,10000,LRD,0,.,64_PP,early,-91,12,-,_,1.00556142391605
.,0,10000,LRD,0,.,64_PP,early,-91,12,+,_,1.03563091497632
.,0,10000,LRD,0,.,64_PP,early,-90,12,-,_,0.947832602335537
.,0,10000,LRD,0,.,64_PP,early,-90,12,+,_,0.955142373425222
.,0,10000,LRD,0,.,64_PP,early,-89,12,-,_,0.943110837663527
.,0,10000,LRD,0,.,64_PP,early,-89,12,+,_,0.958583118855694
.,0,10000,LRD,0,.,64_PP,early,-88,12,-,_,0.962524709302729
.,0,10000,LRD,0,.,64_PP,early,-88,12,+,_,0.994059920319666
.,0,10000,LRD,0,.,64_PP,early,-87,12,-,_,0.915614535894562
.,0,10000,LRD,0,.,64_PP,early,-87,12,+,_,0.979128954333531
.,0,10000,LRD,0,.,64_PP,early,-86,12,-,_,0.978310067357014
.,0,10000,LRD,0,.,64_PP,early,-86,12,+,_,0.961491382795787
