repdomains,log2val,sample_strand,direction,windows
ERD,-0.142773437751123,-,Left Replicating,-1
ERD,-0.169655687151372,+,Left Replicating,-1
LRD,0.0374478761163555,-,Left Replicating,-1
LRD,0.160289277980891,+,Left Replicating,-1
ERD,-0.295695404594846,-,Left Replicating,-10
ERD,-0.1706069283561,+,Left Replicating,-10
LRD,-0.106586665028553,-,Left Replicating,-10
LRD,0.0296105554068841,+,Left Replicating,-10
ERD,-0.00360735904406767,-,Left Replicating,-100
ERD,-0.263023612796653,+,Left Replicating,-100
LRD,-0.258778518198493,-,Left Replicating,-100
LRD,-0.130052252663253,+,Left Replicating,-100
ERD,-0.178916483357868,-,Left Replicating,-11
ERD,-0.152858443675876,+,Left Replicating,-11
LRD,-0.037439735775145,-,Left Replicating,-11
LRD,-0.13045054073436,+,Left Replicating,-11
ERD,-0.180812802175443,-,Left Replicating,-12
ERD,-0.194788744521363,+,Left Replicating,-12
LRD,-0.0333336981269309,-,Left Replicating,-12
LRD,-0.179818603467582,+,Left Replicating,-12
ERD,-0.277346968849072,-,Left Replicating,-13
ERD,-0.151994165058755,+,Left Replicating,-13
LRD,-0.0877271009560902,-,Left Replicating,-13
LRD,-0.126859744603644,+,Left Replicating,-13
ERD,-0.243368026537416,-,Left Replicating,-14
ERD,-0.440688848563513,+,Left Replicating,-14
LRD,-0.312299471277955,-,Left Replicating,-14
LRD,-0.216524057251617,+,Left Replicating,-14
ERD,-0.185460338863121,-,Left Replicating,-15
ERD,-0.01627937428131,+,Left Replicating,-15
LRD,-0.132146462530492,-,Left Replicating,-15
LRD,-0.261797110526529,+,Left Replicating,-15
ERD,-0.315467268145599,-,Left Replicating,-16
ERD,-0.207009425519663,+,Left Replicating,-16
LRD,-0.14176995054164,-,Left Replicating,-16
LRD,0.131381920049851,+,Left Replicating,-16
ERD,-0.138183324886743,-,Left Replicating,-17
ERD,-0.167788656355458,+,Left Replicating,-17
LRD,-0.0524403839865243,-,Left Replicating,-17
LRD,-0.0118763390313151,+,Left Replicating,-17
ERD,-0.296306207714505,-,Left Replicating,-18
ERD,-0.157302858822597,+,Left Replicating,-18
LRD,-0.18427435053157,-,Left Replicating,-18
LRD,-0.06207397177624,+,Left Replicating,-18
ERD,-0.133346201053344,-,Left Replicating,-19
ERD,-0.145586428918591,+,Left Replicating,-19
LRD,0.0167810996582303,-,Left Replicating,-19
LRD,-0.110844171358378,+,Left Replicating,-19
ERD,-0.188590191221167,-,Left Replicating,-2
ERD,-0.225114750928261,+,Left Replicating,-2
LRD,-0.085200868528288,-,Left Replicating,-2
LRD,-0.0797673560172997,+,Left Replicating,-2
ERD,-0.209324794042395,-,Left Replicating,-20
ERD,-0.33509126680509,+,Left Replicating,-20
LRD,-0.220137395776104,-,Left Replicating,-20
LRD,-0.0780715472564108,+,Left Replicating,-20
ERD,-0.160746074984719,-,Left Replicating,-21
ERD,-0.200297568811219,+,Left Replicating,-21
LRD,-0.0181796592329857,-,Left Replicating,-21
LRD,-0.418233648301672,+,Left Replicating,-21
ERD,-0.0533387150716294,-,Left Replicating,-22
ERD,-0.334847773438282,+,Left Replicating,-22
LRD,-0.24821187174854,-,Left Replicating,-22
LRD,-0.156515998752016,+,Left Replicating,-22
ERD,-0.0849758428915356,-,Left Replicating,-23
ERD,-0.227946590742875,+,Left Replicating,-23
LRD,-0.149022487072507,-,Left Replicating,-23
LRD,-0.194655152795307,+,Left Replicating,-23
ERD,-0.0639496027966758,-,Left Replicating,-24
ERD,-0.142721967396187,+,Left Replicating,-24
LRD,-0.474735667948,-,Left Replicating,-24
LRD,-0.215730920416379,+,Left Replicating,-24
ERD,-0.143057714782869,-,Left Replicating,-25
ERD,-0.269642016654599,+,Left Replicating,-25
LRD,-0.0962257752492123,-,Left Replicating,-25
LRD,-0.0574395988295908,+,Left Replicating,-25
ERD,-0.219923586954781,-,Left Replicating,-26
ERD,-0.227566081239347,+,Left Replicating,-26
LRD,-0.0426705480102888,-,Left Replicating,-26
LRD,-0.430611281228689,+,Left Replicating,-26
ERD,-0.146696604927792,-,Left Replicating,-27
ERD,-0.469274953097217,+,Left Replicating,-27
LRD,-0.235367519139004,-,Left Replicating,-27
LRD,-0.261409288211596,+,Left Replicating,-27
ERD,-0.258325527959778,-,Left Replicating,-28
ERD,-0.356294403785961,+,Left Replicating,-28
LRD,-0.317640602456378,-,Left Replicating,-28
LRD,-0.286366079447033,+,Left Replicating,-28
ERD,-0.0714289010813616,-,Left Replicating,-29
ERD,-0.282292955316473,+,Left Replicating,-29
LRD,-0.292931803219967,-,Left Replicating,-29
LRD,-0.308740648771976,+,Left Replicating,-29
ERD,-0.151557055413363,-,Left Replicating,-3
