oligomer_length,counts,sample
14,73,(6-4)PP 12 min.
15,624,(6-4)PP 12 min.
16,4335,(6-4)PP 12 min.
17,17264,(6-4)PP 12 min.
18,36570,(6-4)PP 12 min.
19,61670,(6-4)PP 12 min.
20,100710,(6-4)PP 12 min.
21,196832,(6-4)PP 12 min.
22,444615,(6-4)PP 12 min.
23,1010155,(6-4)PP 12 min.
24,2102430,(6-4)PP 12 min.
25,3358775,(6-4)PP 12 min.
26,3732262,(6-4)PP 12 min.
27,2744362,(6-4)PP 12 min.
28,1344226,(6-4)PP 12 min.
29,454231,(6-4)PP 12 min.
30,107579,(6-4)PP 12 min.
31,19378,(6-4)PP 12 min.
32,2880,(6-4)PP 12 min.
33,384,(6-4)PP 12 min.
34,50,(6-4)PP 12 min.
35,19,(6-4)PP 12 min.
36,7,(6-4)PP 12 min.
37,13,(6-4)PP 12 min.
38,10,(6-4)PP 12 min.
39,12,(6-4)PP 12 min.
40,7,(6-4)PP 12 min.
41,8,(6-4)PP 12 min.
42,3,(6-4)PP 12 min.
43,4,(6-4)PP 12 min.
44,1,(6-4)PP 12 min.
46,1,(6-4)PP 12 min.
47,1,(6-4)PP 12 min.
50,3,(6-4)PP 12 min.
