repdomains,log2val,sample_strand,direction,windows
ERD,-0.167957482469288,-,Left Replicating,-1
ERD,-0.244344722804153,+,Left Replicating,-1
LRD,0.166513912229875,-,Left Replicating,-1
LRD,-0.0311547734636299,+,Left Replicating,-1
ERD,-0.145208353956107,-,Left Replicating,-10
ERD,-0.301799571463033,+,Left Replicating,-10
LRD,0.101879562299464,-,Left Replicating,-10
LRD,-0.215388764553465,+,Left Replicating,-10
ERD,-0.153640319760744,-,Left Replicating,-100
ERD,-0.278977282015215,+,Left Replicating,-100
LRD,-0.000171724285595912,-,Left Replicating,-100
LRD,-0.413887897160825,+,Left Replicating,-100
ERD,0.000167819636112204,-,Left Replicating,-11
ERD,-0.311649274828465,+,Left Replicating,-11
LRD,0.0188537280544348,-,Left Replicating,-11
LRD,0.228048893582008,+,Left Replicating,-11
ERD,-0.231792609885297,-,Left Replicating,-12
ERD,-0.212735504877605,+,Left Replicating,-12
LRD,-0.113343961253978,-,Left Replicating,-12
LRD,-0.0273577661436151,+,Left Replicating,-12
ERD,-0.248833974203334,-,Left Replicating,-13
ERD,-0.22711417194569,+,Left Replicating,-13
LRD,0.0513036915137352,-,Left Replicating,-13
LRD,-0.159849680881844,+,Left Replicating,-13
ERD,-0.13790738713826,-,Left Replicating,-14
ERD,-0.320999258810619,+,Left Replicating,-14
LRD,-0.191667175408796,-,Left Replicating,-14
LRD,-0.186227602978865,+,Left Replicating,-14
ERD,-0.271864706027602,-,Left Replicating,-15
ERD,-0.100644053822203,+,Left Replicating,-15
LRD,-0.0244325972083201,-,Left Replicating,-15
LRD,-0.33323109707439,+,Left Replicating,-15
ERD,-0.137358673760298,-,Left Replicating,-16
ERD,-0.535339129249616,+,Left Replicating,-16
LRD,-0.0647944981689756,-,Left Replicating,-16
LRD,-0.175836651712473,+,Left Replicating,-16
ERD,-0.519074576612027,-,Left Replicating,-17
ERD,-0.214242804946743,+,Left Replicating,-17
LRD,-0.0178781712637767,-,Left Replicating,-17
LRD,0.0273137159765724,+,Left Replicating,-17
ERD,-0.441776218108331,-,Left Replicating,-18
ERD,-0.226159610404146,+,Left Replicating,-18
LRD,0.221244941111083,-,Left Replicating,-18
LRD,-0.223740461583318,+,Left Replicating,-18
ERD,-0.369292936917055,-,Left Replicating,-19
ERD,-0.257464142932931,+,Left Replicating,-19
LRD,0.120476529367314,-,Left Replicating,-19
LRD,0.205595038152505,+,Left Replicating,-19
ERD,-0.306592992663883,-,Left Replicating,-2
ERD,-0.470946107329554,+,Left Replicating,-2
LRD,-0.129979041238202,-,Left Replicating,-2
LRD,-0.0304871609034824,+,Left Replicating,-2
ERD,-0.0915274092755736,-,Left Replicating,-20
ERD,-0.0897335257235822,+,Left Replicating,-20
LRD,-0.242604735135592,-,Left Replicating,-20
LRD,-0.0747587696041041,+,Left Replicating,-20
ERD,-0.205623027883558,-,Left Replicating,-21
ERD,-0.580141623725798,+,Left Replicating,-21
LRD,0.115393767069489,-,Left Replicating,-21
LRD,-0.028388132299303,+,Left Replicating,-21
ERD,-0.340071257148322,-,Left Replicating,-22
ERD,-0.103777615134456,+,Left Replicating,-22
LRD,-0.244854344764151,-,Left Replicating,-22
LRD,-0.124567992623619,+,Left Replicating,-22
ERD,-0.234200449263062,-,Left Replicating,-23
ERD,-0.351518507499136,+,Left Replicating,-23
LRD,0.213529605458615,-,Left Replicating,-23
LRD,-0.156821499237935,+,Left Replicating,-23
ERD,-0.0876252588401031,-,Left Replicating,-24
ERD,-0.272982951371781,+,Left Replicating,-24
LRD,-0.0639090842905798,-,Left Replicating,-24
LRD,0.144358817727161,+,Left Replicating,-24
ERD,-0.491753994201158,-,Left Replicating,-25
ERD,-0.351945809152609,+,Left Replicating,-25
LRD,-0.0610458549906004,-,Left Replicating,-25
LRD,-0.162038426249592,+,Left Replicating,-25
ERD,-0.183244310922092,-,Left Replicating,-26
ERD,-0.349659471961033,+,Left Replicating,-26
LRD,0.0667527974435436,-,Left Replicating,-26
LRD,-0.205870210769134,+,Left Replicating,-26
ERD,-0.257003486233518,-,Left Replicating,-27
ERD,-0.414559057889168,+,Left Replicating,-27
LRD,-0.30312893530067,-,Left Replicating,-27
LRD,-0.0111128831764793,+,Left Replicating,-27
ERD,-0.276341497344577,-,Left Replicating,-28
ERD,-0.392966046855543,+,Left Replicating,-28
LRD,-0.0850828803641756,-,Left Replicating,-28
LRD,-0.193564151458124,+,Left Replicating,-28
ERD,-0.31021902954674,-,Left Replicating,-29
ERD,-0.242194911913474,+,Left Replicating,-29
LRD,-0.392920980263541,-,Left Replicating,-29
LRD,-0.0554215668823078,+,Left Replicating,-29
ERD,-0.336427885696541,-,Left Replicating,-3
