repDomain,sample_names,cell_line,product,method,phase,time_after_exposure,replicate,sample_strand,windows,real,sim,xr_ds
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,59,0.194519195057939,0.160057450557532,1.21530859313556
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,6,0.174938454893167,0.158077941451697,1.10665949522515
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,60,0.179060715980487,0.166844338920396,1.07322020716519
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,61,0.189624010016746,0.156098432345862,1.21477203305029
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,62,0.189366368698789,0.170803357132066,1.10868060135592
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,63,0.182152411795978,0.160057450557532,1.13804394085674
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,64,0.195807401647727,0.164016468769203,1.19382768765287
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,65,0.204309565140326,0.161471385633129,1.26529889081727
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,66,0.188851086062873,0.159491876527294,1.18407965455567
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,67,0.181121846524147,0.159491876527294,1.135618004301
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,68,0.185501748929426,0.157229580406339,1.1798145644733
