dataset,sample_names,cell_line,product,method,phase,time_after_exposure,replicate,sample_strand,windows,real,sim,xr_ds
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,47,0.168167291713083,0.176310993726534,0.953810582985637
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,48,0.168074278830498,0.169572993966285,0.991161828893081
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,49,0.165376905235543,0.168449994006243,0.981756670347008
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,5,0.187979035703617,0.173452448373701,1.08374968163389
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,50,0.170120562247361,0.171257493906347,0.993361273524135
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,51,0.172166845664223,0.168858357628076,1.0195932738102
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,52,0.162260973668956,0.163855903260618,0.990266267129081
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,53,0.170260081571238,0.16982822122993,1.00254292448086
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,54,0.168260304595667,0.172329448413659,0.976387414597738
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,55,0.162726038081879,0.171767948433639,0.9473597348387
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,56,0.165004853705204,0.166050857727972,0.993700700875138
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,57,0.167702227300159,0.170287630304493,0.9848174350673
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,58,0.161795909256033,0.17411603925918,0.929241843223826
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,59,0.157656835981015,0.166561312255264,0.94653934846165
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,6,0.190490383533403,0.170951221189972,1.1142967111169
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,60,0.169004407656345,0.179731039059388,0.94031842546963
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,61,0.170539120218992,0.17472858469193,0.976023016037559
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,62,0.168353317478252,0.173707675637347,0.969176041648998
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,63,0.173608545344286,0.172074221150014,1.00891664180734
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,64,0.172120339222931,0.175136948313763,0.982775712835717
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,65,0.164214244203234,0.17595367555743,0.933281124608481
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,66,0.16951597851056,0.168501039458972,1.0060233400034
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,+,67,0.162214467227664,0.168296857648055,0.963859156341996
