repdomains,log2val,sample_strand,direction,windows
LRD,-0.495081873365774,-,Left Replicating,-37
LRD,-0.0145656175495965,+,Left Replicating,-37
ERD,-0.0908897991158185,-,Left Replicating,-38
ERD,-0.17123094170626,+,Left Replicating,-38
LRD,-0.429183417499464,-,Left Replicating,-38
LRD,-0.314162453131678,+,Left Replicating,-38
ERD,-0.216169032512667,-,Left Replicating,-39
ERD,-0.0654124218304487,+,Left Replicating,-39
LRD,-0.679682554887793,-,Left Replicating,-39
LRD,-0.261415052698671,+,Left Replicating,-39
ERD,-0.0400443766451223,-,Left Replicating,-4
ERD,0.0228833722281274,+,Left Replicating,-4
LRD,-0.347047066020834,-,Left Replicating,-4
LRD,-0.0589517313941184,+,Left Replicating,-4
ERD,-0.0397661351496728,-,Left Replicating,-40
ERD,-0.00879771733199132,+,Left Replicating,-40
LRD,-0.704500845054218,-,Left Replicating,-40
LRD,-0.334256240246052,+,Left Replicating,-40
ERD,-0.119856746365567,-,Left Replicating,-41
ERD,-0.279866462290608,+,Left Replicating,-41
LRD,-0.602659570831178,-,Left Replicating,-41
LRD,-0.40594654410377,+,Left Replicating,-41
ERD,0.013176897304735,-,Left Replicating,-42
ERD,-0.0987114407735536,+,Left Replicating,-42
LRD,-0.523202540351853,-,Left Replicating,-42
LRD,-0.252695679599049,+,Left Replicating,-42
ERD,-0.110989085466685,-,Left Replicating,-43
ERD,-0.139845132360691,+,Left Replicating,-43
LRD,-0.607526524833626,-,Left Replicating,-43
LRD,-0.0794894118721403,+,Left Replicating,-43
ERD,-0.0466041959937774,-,Left Replicating,-44
ERD,-0.0466601242821967,+,Left Replicating,-44
LRD,-0.682868203704414,-,Left Replicating,-44
LRD,-0.320873086728087,+,Left Replicating,-44
ERD,-0.171815823679189,-,Left Replicating,-45
ERD,0.0617455614892518,+,Left Replicating,-45
LRD,-0.497636984555568,-,Left Replicating,-45
LRD,-0.303655206584436,+,Left Replicating,-45
ERD,-0.11470278470253,-,Left Replicating,-46
ERD,-0.0547403028850738,+,Left Replicating,-46
LRD,-0.659811276446648,-,Left Replicating,-46
